Location,Trees Lost,Climate,Latitude,Longitude,Recommended Tree,Trees to Plant,Carbon Absorption (kg/year),Average Temperature (°C),Average Rainfall (mm/year)
Beijing,822,Continental,-18.7657,-114.2396,Mangrove,1109,24,9.430534452837751,817
London,221,Mediterranean,16.46,-43.0516,Oak,319,47,13.018684030302584,2676
Amazon Rainforest,694,Temperate,11.277,93.7962,Oak,839,37,9.435150128941995,2973
Sydney,390,Continental,10.3142,-84.7747,Teak,649,56,0.5564150127687482,1341
London,167,Temperate,-17.4676,124.6974,Redwood,432,30,37.327784306638165,2013
Toronto,761,Mediterranean,-5.5915,-58.7512,Eucalyptus,935,16,0.8767899645165471,899
Amazon Rainforest,340,Coastal,36.7846,-79.9428,Silver Birch,474,42,35.01834034317035,652
Mumbai,930,Coastal,-22.5174,64.866,Baobab,1123,10,23.449790240238254,695
Mumbai,243,Temperate,-28.4519,-124.7291,Silver Birch,386,29,32.769307988133264,2810
Toronto,642,Tropical,49.3946,-80.4405,Pine,700,24,18.323197567499488,2348
New York,318,Coastal,47.843,50.3902,Maple,427,36,12.120867864810368,2715
Cape Town,312,Subtropical,5.8472,-113.3089,Teak,391,17,15.366490924015917,295
Mumbai,733,Temperate,44.2446,71.4883,Silver Birch,846,40,22.67680630708514,1788
Beijing,463,Coastal,-0.6538,-10.6916,Cedar,530,49,-1.1722944564871653,1964
Sydney,390,Desert,22.5471,5.716,Oak,464,16,32.558907070182684,419
London,549,Subtropical,-45.45,-98.8129,Teak,695,49,26.35265344024387,1203
New York,800,Tropical,-21.7354,55.7553,Maple,1035,43,33.02148321662483,2576
Sydney,209,Coastal,49.5022,93.7061,Redwood,369,31,1.3900404486264888,819
Amazon Rainforest,240,Continental,-29.9968,30.5025,Redwood,370,56,21.491521514688866,522
Mumbai,250,Temperate,33.8245,28.8666,Mangrove,373,19,22.878122269652554,1801
Amazon Rainforest,840,Desert,-25.4663,35.3339,Cedar,1067,24,26.29351297387371,913
Amazon Rainforest,187,Desert,-48.5334,118.7674,Maple,372,37,20.165928628547885,704
Indonesia,572,Mediterranean,7.9783,-14.4349,Pine,626,35,-0.08609657840811735,1473
Cape Town,460,Desert,-1.9178,-42.242,Cedar,712,54,35.468649899505344,673
Amazon Rainforest,289,Continental,1.5289,-99.2492,Mangrove,527,44,33.88174631711783,1596
Mumbai,476,Subtropical,-38.1735,-68.5684,Baobab,726,53,20.408074177240497,906
Cape Town,670,Continental,-21.4975,-91.8835,Oak,731,30,39.81200543227305,549
Toronto,153,Desert,45.0102,7.5562,Eucalyptus,254,18,-2.8035235991776757,370
California,699,Desert,-48.172,90.2291,Silver Birch,982,11,-1.0240736626000713,1118
Amazon Rainforest,352,Tropical,47.2032,-110.6838,Mangrove,466,56,7.88936700094513,2523
New York,698,Temperate,6.4043,-46.397,Mangrove,833,55,4.915203067006551,2984
